공정타입,변수명(영문)
과립,L11_1110_FBG5_AIR_F
과립,L11_1110_FBG5_BND_F
과립,L11_1110_FBG5_FILT_DP
과립,L11_1110_FBG5_IN_T
과립,L11_1110_FBG5_OUT_T
과립,L11_1110_FBG5_PRD_T
과립,L11_1110_FBG5_SIE_DP
과립,L11_1110_HSM2_CH_RPM
과립,L11_1110_HSM2_GR_TM
과립,L11_1110_HSM2_GR_TMS
과립,L11_1110_HSM2_MI_A
과립,L11_1110_HSM2_MI_RPM
과립,L11_1110_HSM2_MX_TM
과립,L11_1110_HSM2_MX_TMS
과립,L11_1109_FBG2_AIR_F
과립,L11_1109_FBG2_BND_F
과립,L11_1109_FBG2_CAIR_P
과립,L11_1109_HSM1_CH_RPM
과립,L11_1109_FBG2_FILT_DP
과립,L11_1109_FBG2_IN_T
과립,L11_1109_HSM1_MI_A
과립,L11_1109_HSM1_MI_RPM
과립,L11_1109_FBG2_OUT_T
과립,L11_1109_FBG2_PRD_T
과립,L11_1109_FBG2_SIE_DP
과립,L11_1109_FBG2_SIL_P1
과립,L11_1109_FBG2_SIL_P2
과립,L11_1109_FBG2_SPR_P
혼합,L11_1177_COM4_A
혼합,L11_1177_COM4_RPM
혼합,L11_1177_COM4_TM
과립,L11_1177_FBG3_AIR_F
과립,L11_1177_FBG3_BND_F
과립,L11_1177_FBG3_CAIR_P
과립,L11_1177_FBG3_FILT_DP
과립,L11_1177_FBG3_IN_T
과립,L11_1177_FBG3_OUT_T
과립,L11_1177_FBG3_PRD_T
과립,L11_1177_FBG3_SIE_DP
과립,L11_1177_FBG3_SIL_P1
과립,L11_1177_FBG3_SIL_P2
강타,L11_1122_RCP5_A
강타,L11_1122_RCP5_SRW_RPM
강타,L11_1122_RCP5_ROL_RPM
강타,L11_1122_RCP5_ROL_FRC
타정,L11_1132_KLTP1_BMP_TK
타정,L11_1132_KLTP1_BPP_TK
타정,L11_1132_KLTP1_FED_RPM
타정,L11_1132_KLTP1_FILL_DT
타정,L11_1132_KLTP1_IPC_HD
타정,L11_1132_KLTP1_IPC_TK
타정,L11_1132_KLTP1_IPC_W
타정,L11_1132_KLTP1_MP
타정,L11_1132_KLTP1_PP
타정,L11_1132_KLTP1_PRD_GOOD
타정,L11_1132_KLTP1_PRD_REJECT
타정,L11_1132_KLTP1_PRD_RPM
타정,L11_1132_KLTP1_TMP_TK
타정,L11_1132_KLTP1_TPP_TK
타정,L11_1141_KSTP1_PRD_RPM
타정,L11_1141_KSTP1_PRD_GOOD
타정,L11_1141_KSTP1_PRD_REJECT
타정,L11_1141_KSTP1_MP
타정,L11_1141_KSTP1_PP
타정,L11_1141_KSTP1_FED_RPM
타정,L11_1141_KSTP1_TMP_TK
타정,L11_1141_KSTP1_TPP_TK
타정,L11_1141_KSTP1_BMP_TK
타정,L11_1141_KSTP1_BPP_TK
타정,L11_1141_KSTP1_FILL_DT
타정,L11_1141_KSTP1_IPC_HD
타정,L11_1141_KSTP1_IPC_TK
타정,L11_1141_KSTP1_IPC_DM
타정,L11_1141_KSTP1_IPC_W
타정,L11_1136_KLTP3_BMP_TK
타정,L11_1136_KLTP3_BMP_TK_2
타정,L11_1136_KLTP3_BPP_TK
타정,L11_1136_KLTP3_BPP_TK_2
타정,L11_1136_KLTP3_EJECT
타정,L11_1136_KLTP3_EJECT_2
타정,L11_1136_KLTP3_FED_RPM
타정,L11_1136_KLTP3_FED_RPM_2
타정,L11_1136_KLTP3_FILL_DT
타정,L11_1136_KLTP3_FILL_DT_2
타정,L11_1136_KLTP3_IPC_HD
타정,L11_1136_KLTP3_IPC_HD_2
타정,L11_1136_KLTP3_IPC_HD_SET
타정,L11_1136_KLTP3_IPC_HD_SET_2
타정,L11_1136_KLTP3_IPC_TK
타정,L11_1136_KLTP3_IPC_TK_2
타정,L11_1136_KLTP3_IPC_W
타정,L11_1136_KLTP3_IPC_W_2
타정,L11_1136_KLTP3_IPC_W_MSET
타정,L11_1136_KLTP3_IPC_W_MSET_2
타정,L11_1136_KLTP3_IPC_W_SET
타정,L11_1136_KLTP3_IPC_W_SET_2
타정,L11_1136_KLTP3_MP
타정,L11_1136_KLTP3_MP_2
타정,L11_1136_KLTP3_MP_DEV
타정,L11_1136_KLTP3_MP_DEV_2
타정,L11_1136_KLTP3_MP_SET
타정,L11_1136_KLTP3_MP_SET_2
타정,L11_1136_KLTP3_OP_MODE
타정,L11_1136_KLTP3_OP_MODE_2
타정,L11_1136_KLTP3_PP
타정,L11_1136_KLTP3_PP_2
타정,L11_1136_KLTP3_PP_DEV
타정,L11_1136_KLTP3_PP_DEV_2
타정,L11_1136_KLTP3_PP_SET
타정,L11_1136_KLTP3_PP_SET_2
타정,L11_1136_KLTP3_PRD_GOOD
타정,L11_1136_KLTP3_PRD_RPM
